keyword,mode,volume,kd_percent,cpc,intent,serp_features
home automation installation,broad-in-geo,590,26,8.46,commercial,
home automation miami,city-modified,90,14,,commercial,
smart home installation,broad-in-geo,1900,24,9.24,navigational,
smart home miami,city-modified,20,6,,transactional,
smart home services,broad-in-geo,720,70,12.2,navigational,
smart home brickell,city-modified,,,,,
smart home coral gables,city-modified,,,,,
smart home miami beach,city-modified,,,,,
smart home pinecrest,city-modified,,,,,
smart home installation miami,city-modified,,,,,
